,y,x,optimal_steps_count,converged,reached_horizon,steps_taken,discounted_rewards,extra_steps,t_min_over_t
mean,,,,0.22033898305084745,0.7796610169491526,936.9491525423729,0.007942280728493725,859.728813559322,0.09630243290441413
standard_deviation,,,,0.41447522917415197,0.41447522917415197,161.32396332643714,0.05804412537417729,156.82132016379148,0.11858922083483135
success_mean,,,,1.0,0.0,713.8461538461538,0.03589297581540303,655.1538461538462,0.14529565702772562
success_standard_deviation,,,,0.0,0.0,237.58058713753402,0.12190217668392017,240.3338831388853,0.24634258870852735
run_0,172.0,113.0,89.0,False,True,1000.0,4.317124741065786e-05,911.0,0.089
run_1,50.0,123.0,79.0,False,True,1000.0,4.317124741065786e-05,921.0,0.079
run_2,81.0,116.0,55.0,False,True,1000.0,4.317124741065786e-05,945.0,0.055
run_3,68.0,108.0,76.0,False,True,1000.0,4.317124741065786e-05,924.0,0.076
run_4,115.0,231.0,92.0,False,True,1000.0,4.317124741065786e-05,908.0,0.092
run_5,56.0,188.0,100.0,False,True,1000.0,4.317124741065786e-05,900.0,0.1
run_6,99.0,238.0,107.0,False,True,1000.0,4.317124741065786e-05,893.0,0.107
run_7,94.0,217.0,91.0,False,True,1000.0,4.317124741065786e-05,909.0,0.091
run_8,70.0,112.0,70.0,False,True,1000.0,4.317124741065786e-05,930.0,0.07
run_9,56.0,212.0,124.0,False,True,1000.0,4.317124741065786e-05,876.0,0.124
run_10,61.0,182.0,89.0,False,True,1000.0,4.317124741065786e-05,911.0,0.089
run_11,120.0,218.0,84.0,False,True,1000.0,4.317124741065786e-05,916.0,0.084
run_12,127.0,161.0,34.0,False,True,1000.0,4.317124741065786e-05,966.0,0.034
run_13,56.0,209.0,121.0,False,True,1000.0,4.317124741065786e-05,879.0,0.121
run_14,61.0,200.0,107.0,False,True,1000.0,4.317124741065786e-05,893.0,0.107
run_15,41.0,140.0,71.0,False,True,1000.0,4.317124741065786e-05,929.0,0.071
run_16,121.0,214.0,81.0,False,True,1000.0,4.317124741065786e-05,919.0,0.081
run_17,88.0,237.0,117.0,False,True,1000.0,4.317124741065786e-05,883.0,0.117
run_18,77.0,210.0,101.0,False,True,1000.0,4.317124741065786e-05,899.0,0.101
run_19,141.0,178.0,65.0,False,True,1000.0,4.317124741065786e-05,935.0,0.065
run_20,128.0,199.0,73.0,False,True,1000.0,4.317124741065786e-05,927.0,0.073
run_21,123.0,216.0,85.0,False,True,1000.0,4.317124741065786e-05,915.0,0.085
run_22,138.0,109.0,59.0,False,True,1000.0,4.317124741065786e-05,941.0,0.059
run_23,39.0,167.0,96.0,True,False,980.0,5.2782591057953676e-05,884.0,0.09795918367346938
run_24,96.0,108.0,48.0,False,True,1000.0,4.317124741065786e-05,952.0,0.048
run_25,90.0,155.0,33.0,False,True,1000.0,4.317124741065786e-05,967.0,0.033
run_26,61.0,140.0,51.0,False,True,1000.0,4.317124741065786e-05,949.0,0.051
run_27,116.0,197.0,59.0,False,True,1000.0,4.317124741065786e-05,941.0,0.059
run_28,143.0,123.0,50.0,False,True,1000.0,4.317124741065786e-05,950.0,0.05
run_29,72.0,137.0,43.0,True,False,631.0,0.001761196408077229,588.0,0.06814580031695722
run_30,144.0,144.0,34.0,True,False,548.0,0.0040558944033110235,514.0,0.06204379562043796
run_31,137.0,159.0,42.0,True,False,594.0,0.0025544981408702158,552.0,0.0707070707070707
run_32,116.0,196.0,58.0,False,True,1000.0,4.317124741065786e-05,942.0,0.058
run_33,76.0,160.0,52.0,False,True,1000.0,4.317124741065786e-05,948.0,0.052
run_34,141.0,208.0,95.0,False,True,1000.0,4.317124741065786e-05,905.0,0.095
run_35,146.0,141.0,35.0,False,True,1000.0,4.317124741065786e-05,965.0,0.035
run_36,150.0,132.0,48.0,False,True,1000.0,4.317124741065786e-05,952.0,0.048
run_37,74.0,200.0,94.0,False,True,1000.0,4.317124741065786e-05,906.0,0.094
run_38,130.0,221.0,97.0,False,True,1000.0,4.317124741065786e-05,903.0,0.097
run_39,57.0,129.0,66.0,False,True,1000.0,4.317124741065786e-05,934.0,0.066
run_40,142.0,181.0,69.0,False,True,1000.0,4.317124741065786e-05,931.0,0.069
run_41,137.0,193.0,76.0,False,True,1000.0,4.317124741065786e-05,924.0,0.076
run_42,65.0,152.0,55.0,False,True,1000.0,4.317124741065786e-05,945.0,0.055
run_43,175.0,107.0,98.0,False,True,1000.0,4.317124741065786e-05,902.0,0.098
run_44,60.0,188.0,96.0,False,True,1000.0,4.317124741065786e-05,904.0,0.096
run_45,59.0,207.0,116.0,False,True,1000.0,4.317124741065786e-05,884.0,0.116
run_46,72.0,224.0,120.0,False,True,1000.0,4.317124741065786e-05,880.0,0.12
run_47,85.0,236.0,119.0,False,True,1000.0,4.317124741065786e-05,881.0,0.119
run_48,89.0,238.0,117.0,False,True,1000.0,4.317124741065786e-05,883.0,0.117
run_49,137.0,239.0,122.0,False,True,1000.0,4.317124741065786e-05,878.0,0.122
run_50,144.0,210.0,100.0,False,True,1000.0,4.317124741065786e-05,900.0,0.1
run_51,66.0,234.0,136.0,False,True,1000.0,4.317124741065786e-05,864.0,0.136
run_52,146.0,218.0,110.0,False,True,1000.0,4.317124741065786e-05,890.0,0.11
run_53,142.0,211.0,99.0,False,True,1000.0,4.317124741065786e-05,901.0,0.099
run_54,175.0,140.0,65.0,False,True,1000.0,4.317124741065786e-05,935.0,0.065
run_55,182.0,151.0,79.0,False,True,1000.0,4.317124741065786e-05,921.0,0.079
run_56,195.0,106.0,119.0,False,True,1000.0,4.317124741065786e-05,881.0,0.119
run_57,172.0,169.0,87.0,False,True,1000.0,4.317124741065786e-05,913.0,0.087
run_58,115.0,208.0,69.0,False,True,1000.0,4.317124741065786e-05,931.0,0.069
run_59,197.0,184.0,127.0,False,True,1000.0,4.317124741065786e-05,873.0,0.127
run_60,195.0,131.0,94.0,False,True,1000.0,4.317124741065786e-05,906.0,0.094
run_61,197.0,144.0,87.0,False,True,1000.0,4.317124741065786e-05,913.0,0.087
run_62,127.0,189.0,62.0,False,True,1000.0,4.317124741065786e-05,938.0,0.062
run_63,89.0,165.0,44.0,False,True,1000.0,4.317124741065786e-05,956.0,0.044
run_64,89.0,202.0,81.0,False,True,1000.0,4.317124741065786e-05,919.0,0.081
run_65,76.0,109.0,67.0,True,False,727.0,0.0006710988157139125,660.0,0.0921595598349381
run_66,143.0,162.0,51.0,True,False,951.0,7.064315096667499e-05,900.0,0.05362776025236593
run_67,125.0,133.0,22.0,True,False,810.0,0.0002914121291558657,788.0,0.027160493827160494
run_68,144.0,158.0,48.0,True,False,950.0,7.135671814815656e-05,902.0,0.05052631578947368
run_69,118.0,176.0,40.0,True,False,948.0,7.280554856459194e-05,908.0,0.04219409282700422
run_70,91.0,177.0,54.0,True,False,890.0,0.00013041369256958768,836.0,0.060674157303370786
run_71,50.0,119.0,83.0,True,False,957.0,6.650912432626257e-05,874.0,0.08672936259143156
run_72,88.0,163.0,43.0,True,False,909.0,0.00010774370091953352,866.0,0.047304730473047306
run_73,92.0,185.0,61.0,True,False,861.0,0.00017454304511499845,800.0,0.07084785133565621
run_74,63.0,159.0,64.0,True,False,672.0,0.0011664087517150477,608.0,0.09523809523809523
run_75,150.0,154.0,50.0,True,False,838.0,0.0002199343543990079,788.0,0.059665871121718374
run_76,182.0,180.0,108.0,False,True,1000.0,4.317124741065786e-05,892.0,0.108
run_77,159.0,187.0,92.0,False,True,1000.0,4.317124741065786e-05,908.0,0.092
run_78,160.0,202.0,108.0,False,True,1000.0,4.317124741065786e-05,892.0,0.108
run_79,105.0,187.0,50.0,False,True,1000.0,4.317124741065786e-05,950.0,0.05
run_80,123.0,189.0,58.0,False,True,1000.0,4.317124741065786e-05,942.0,0.058
run_81,109.0,209.0,68.0,False,True,1000.0,4.317124741065786e-05,932.0,0.068
run_82,193.0,150.0,89.0,False,True,1000.0,4.317124741065786e-05,911.0,0.089
run_83,160.0,197.0,103.0,False,True,1000.0,4.317124741065786e-05,897.0,0.103
run_84,78.0,202.0,92.0,False,True,1000.0,4.317124741065786e-05,908.0,0.092
run_85,181.0,213.0,140.0,False,True,1000.0,4.317124741065786e-05,860.0,0.14
run_86,166.0,177.0,89.0,False,True,1000.0,4.317124741065786e-05,911.0,0.089
run_87,114.0,162.0,22.0,True,False,750.0,0.0005325936058869021,728.0,0.029333333333333333
run_88,118.0,118.0,30.0,True,False,432.0,0.01301379814397157,402.0,0.06944444444444445
run_89,87.0,182.0,63.0,False,True,1000.0,4.317124741065786e-05,937.0,0.063
run_90,152.0,72.0,110.0,True,False,790.0,0.00035629008113312815,680.0,0.13924050632911392
run_91,108.0,65.0,79.0,True,False,81.0,0.4430479816261725,2.0,0.9753086419753086
run_92,77.0,75.0,100.0,True,False,640.0,0.001608883294984785,540.0,0.15625
run_93,111.0,65.0,76.0,True,False,78.0,0.4566097477439145,2.0,0.9743589743589743
run_94,91.0,110.0,51.0,True,False,569.0,0.0032841707289235677,518.0,0.08963093145869948
run_95,135.0,190.0,71.0,False,True,1000.0,4.317124741065786e-05,929.0,0.071
run_96,118.0,129.0,19.0,False,True,1000.0,4.317124741065786e-05,981.0,0.019
run_97,158.0,170.0,74.0,False,True,1000.0,4.317124741065786e-05,926.0,0.074
run_98,171.0,176.0,93.0,False,True,1000.0,4.317124741065786e-05,907.0,0.093
run_99,156.0,140.0,46.0,False,True,1000.0,4.317124741065786e-05,954.0,0.046
run_100,154.0,190.0,90.0,False,True,1000.0,4.317124741065786e-05,910.0,0.09
run_101,110.0,176.0,34.0,False,True,1000.0,4.317124741065786e-05,966.0,0.034
run_102,162.0,161.0,69.0,False,True,1000.0,4.317124741065786e-05,931.0,0.069
run_103,175.0,150.0,71.0,True,False,857.0,0.00018170286290799652,786.0,0.08284714119019837
run_104,154.0,164.0,64.0,False,True,1000.0,4.317124741065786e-05,936.0,0.064
run_105,117.0,215.0,78.0,False,True,1000.0,4.317124741065786e-05,922.0,0.078
run_106,193.0,169.0,108.0,False,True,1000.0,4.317124741065786e-05,892.0,0.108
run_107,165.0,201.0,112.0,False,True,1000.0,4.317124741065786e-05,888.0,0.112
run_108,161.0,133.0,58.0,False,True,1000.0,4.317124741065786e-05,942.0,0.058
run_109,164.0,206.0,116.0,False,True,1000.0,4.317124741065786e-05,884.0,0.116
run_110,141.0,212.0,99.0,False,True,1000.0,4.317124741065786e-05,901.0,0.099
run_111,162.0,187.0,95.0,False,True,1000.0,4.317124741065786e-05,905.0,0.095
run_112,112.0,192.0,50.0,False,True,1000.0,4.317124741065786e-05,950.0,0.05
run_113,133.0,183.0,62.0,False,True,1000.0,4.317124741065786e-05,938.0,0.062
run_114,130.0,209.0,85.0,False,True,1000.0,4.317124741065786e-05,915.0,0.085
run_115,182.0,122.0,90.0,True,False,628.0,0.0018151068980564022,538.0,0.14331210191082802
run_116,135.0,150.0,31.0,True,False,705.0,0.0008371671745957302,674.0,0.04397163120567376
run_117,180.0,142.0,68.0,True,False,764.0,0.00046268846502177765,696.0,0.08900523560209424
