,y,x,optimal_steps_count,converged,reached_horizon,steps_taken,extra_steps,t_min_over_t,y_source_cm,x_source_cm,y_agent_cm,x_agent_cm,odor_field_file,odor_field_file_2
run_91,28.0,43.0,30.0,True,False,252.0,222.0,0.11904761904761904,48.0,30.0,14.0,2.0,/storage/arnaud/tank_odor_field_2024_06_13/25_55.h5,
run_92,23.0,76.0,40.0,True,False,842.0,802.0,0.047505938242280284,58.0,32.0,14.0,70.0,/storage/arnaud/tank_odor_field_2024_06_13/25_55.h5,
run_93,49.0,87.0,33.0,True,False,829.0,796.0,0.039806996381182146,58.0,30.0,66.0,90.0,/storage/arnaud/tank_odor_field_2024_06_13/25_55.h5,
run_94,23.0,84.0,48.0,False,True,1000.0,952.0,0.048,46.0,30.0,2.0,84.0,/storage/arnaud/tank_odor_field_2024_06_13/25_55.h5,
run_95,25.0,80.0,42.0,True,False,952.0,910.0,0.04411764705882353,50.0,30.0,10.0,76.0,/storage/arnaud/tank_odor_field_2024_06_13/25_55.h5,
run_96,57.0,72.0,26.0,True,False,888.0,862.0,0.02927927927927928,58.0,36.0,82.0,66.0,/storage/arnaud/tank_odor_field_2024_06_13/25_55.h5,
run_97,52.0,80.0,29.0,True,False,571.0,542.0,0.050788091068301226,50.0,34.0,64.0,80.0,/storage/arnaud/tank_odor_field_2024_06_13/25_55.h5,
run_98,50.0,87.0,34.0,True,False,264.0,230.0,0.12878787878787878,56.0,40.0,66.0,100.0,/storage/arnaud/tank_odor_field_2024_06_13/25_55.h5,
run_99,58.0,49.0,20.0,True,False,198.0,178.0,0.10101010101010101,52.0,38.0,78.0,22.0,/storage/arnaud/tank_odor_field_2024_06_13/25_55.h5,
run_100,24.0,83.0,46.0,True,False,590.0,544.0,0.07796610169491526,48.0,22.0,6.0,74.0,/storage/arnaud/tank_odor_field_2024_06_13/25_55.h5,
run_101,64.0,68.0,29.0,True,False,467.0,438.0,0.06209850107066381,44.0,26.0,82.0,48.0,/storage/arnaud/tank_odor_field_2024_06_13/25_55.h5,
run_102,47.0,86.0,30.0,True,False,442.0,412.0,0.06787330316742081,50.0,22.0,54.0,80.0,/storage/arnaud/tank_odor_field_2024_06_13/25_55.h5,
run_103,67.0,80.0,44.0,True,False,896.0,852.0,0.049107142857142856,46.0,26.0,90.0,72.0,/storage/arnaud/tank_odor_field_2024_06_13/25_55.h5,
run_104,65.0,54.0,22.0,True,False,482.0,460.0,0.04564315352697095,48.0,28.0,88.0,22.0,/storage/arnaud/tank_odor_field_2024_06_13/25_55.h5,
run_105,66.0,82.0,45.0,False,True,1000.0,955.0,0.045,46.0,26.0,88.0,76.0,/storage/arnaud/tank_odor_field_2024_06_13/25_55.h5,
run_106,45.0,77.0,19.0,True,False,539.0,520.0,0.03525046382189239,48.0,22.0,48.0,62.0,/storage/arnaud/tank_odor_field_2024_06_13/25_55.h5,
run_107,54.0,74.0,25.0,True,False,557.0,532.0,0.04488330341113106,48.0,28.0,66.0,62.0,/storage/arnaud/tank_odor_field_2024_06_13/25_55.h5,
run_108,63.0,56.0,18.0,True,False,262.0,244.0,0.06870229007633588,42.0,26.0,78.0,24.0,/storage/arnaud/tank_odor_field_2024_06_13/15_45.h5,
run_109,62.0,66.0,25.0,True,False,501.0,476.0,0.0499001996007984,46.0,20.0,80.0,38.0,/storage/arnaud/tank_odor_field_2024_06_13/15_45.h5,
run_110,57.0,85.0,39.0,True,False,505.0,466.0,0.07722772277227723,42.0,22.0,66.0,78.0,/storage/arnaud/tank_odor_field_2024_06_13/15_45.h5,
run_111,65.0,75.0,37.0,True,False,493.0,456.0,0.07505070993914807,42.0,22.0,82.0,58.0,/storage/arnaud/tank_odor_field_2024_06_13/15_45.h5,
run_112,53.0,84.0,34.0,True,False,420.0,386.0,0.08095238095238096,48.0,20.0,64.0,74.0,/storage/arnaud/tank_odor_field_2024_06_13/15_45.h5,
run_113,39.0,43.0,19.0,False,True,1000.0,981.0,0.019,24.0,58.0,12.0,30.0,/storage/arnaud/tank_odor_field_2024_06_13/55_25.h5,
run_114,71.0,60.0,28.0,True,False,150.0,122.0,0.18666666666666668,14.0,62.0,66.0,68.0,/storage/arnaud/tank_odor_field_2024_06_13/55_25.h5,
run_115,78.0,68.0,43.0,False,True,1000.0,957.0,0.043,12.0,56.0,78.0,78.0,/storage/arnaud/tank_odor_field_2024_06_13/55_25.h5,
run_116,74.0,49.0,36.0,True,False,136.0,100.0,0.2647058823529412,12.0,78.0,70.0,62.0,/storage/arnaud/tank_odor_field_2024_06_13/55_25.h5,
run_117,73.0,57.0,27.0,True,False,141.0,114.0,0.19148936170212766,12.0,80.0,68.0,80.0,/storage/arnaud/tank_odor_field_2024_06_13/55_25.h5,
