,y,x,optimal_steps_count,converged,reached_horizon,steps_taken,discounted_rewards,extra_steps,t_min_over_t
mean,,,,0.8813559322033898,0.11864406779661017,497.52542372881356,0.1063740392304944,467.2542372881356,0.14662798621388312
standard_deviation,,,,0.3233692208193036,0.3233692208193036,311.5823669393573,0.2243859481288167,309.7239390396693,0.21991223769739213
success_mean,,,,1.0,0.0,429.88461538461536,0.12068780992052491,400.24038461538464,0.1616644458965212
success_standard_deviation,,,,0.0,0.0,268.85775311770556,0.2365117220481808,267.7013078001467,0.2312228118762971
run_0,51.0,65.0,13.0,True,False,375.0,0.02307798964136396,362.0,0.034666666666666665
run_1,48.0,52.0,7.0,True,False,9.0,0.9135172474836408,2.0,0.7777777777777778
run_2,45.0,70.0,12.0,True,False,252.0,0.07944545169055386,240.0,0.047619047619047616
run_3,16.0,67.0,38.0,False,True,1000.0,4.317124741065786e-05,962.0,0.038
run_4,58.0,58.0,13.0,True,False,767.0,0.00044894615492216584,754.0,0.01694915254237288
run_5,36.0,66.0,17.0,True,False,27.0,0.7623427143471035,10.0,0.6296296296296297
run_6,37.0,74.0,24.0,True,False,26.0,0.7700431458051551,2.0,0.9230769230769231
run_7,46.0,65.0,8.0,True,False,498.0,0.0067038904626207565,490.0,0.01606425702811245
run_8,48.0,48.0,11.0,True,False,13.0,0.8775210229989678,2.0,0.8461538461538461
run_9,36.0,73.0,24.0,True,False,546.0,0.004138245488532827,522.0,0.04395604395604396
run_10,55.0,60.0,12.0,False,True,1000.0,4.317124741065786e-05,988.0,0.012
run_11,70.0,46.0,35.0,True,False,967.0,6.014965986520388e-05,932.0,0.03619441571871768
run_12,47.0,92.0,36.0,True,False,130.0,0.27075425951199406,94.0,0.27692307692307694
run_13,40.0,95.0,42.0,True,False,414.0,0.015594467994581931,372.0,0.10144927536231885
run_14,38.0,87.0,36.0,True,False,384.0,0.02108214157463478,348.0,0.09375
run_15,23.0,85.0,49.0,True,False,445.0,0.011419881460400001,396.0,0.1101123595505618
